City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
479,Red Bluff,US,70.27,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
481,Kirakira,SB,81.59,-10.4544,161.9205,SanBiz Lodge
482,Cayenne,GF,86.04,4.9333,-52.3333,Hôtel Le Dronmi
484,Jati,PK,78.85,24.3539,68.2671,Cafe Lala Rehan Restaurant
486,Kroya,ID,77.22,-7.6331,109.2461,RUSTANTO Fam
487,Keti Bandar,PK,80.62,24.1447,67.4497,Haji laloo memon house
488,Basco,PH,80.8,20.4487,121.9702,Nathaniel's Lodge
489,Nikki,BJ,79.29,9.9401,3.2108,Hotel John
490,Boma,GH,74.97,7.0805,-2.1697,Obaatanpa Hotel
491,Weligama,LK,76.46,5.9667,80.4167,Weligama Bay Resort
494,Cienfuegos,CU,86.14,22.1461,-80.4356,Casa Claumar B2BPay
495,Celestun,MX,79.63,20.8667,-90.4,Posada Lilia
497,Kavieng,PG,82.18,-2.5744,150.7967,Nusa Island Retreat
498,Darnah,LY,70.05,32.767,22.6367,فندق الفردوس
501,Todos Santos,MX,89.11,23.45,-110.2167,Hotel California Todos Santos
502,Hambantota,LK,78.42,6.1241,81.1185,Bungalow 63
505,Owasso,US,70.45,36.2695,-95.8547,Hampton Inn & Suites Tulsa North/Owasso
509,Bambanglipuro,ID,77.16,-7.95,110.2833,Puri Brata
510,Trairi,BR,81.57,-3.2778,-39.2689,janelas do mar
511,Aswan,EG,86.7,24.0934,32.907,Nuba Nile
513,Payo,ID,72.63,-3.7508,103.6372,Mess keban agung
519,Voi,KE,74.35,-3.3945,38.563,Voi Wildlife Lodge
525,Pulaski,US,70.27,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
526,Saint George,US,81.07,37.1041,-113.5841,Best Western Plus Abbey Inn
527,Jalu,LY,70.14,29.0331,21.5482,صاحبة الفخامة
529,Villa Carlos Paz,AR,81.68,-31.4241,-64.4978,Monte Carlo
532,Tucurui,BR,88.92,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
533,Ternate,ID,80.08,0.8,127.4,Sahid Bela Ternate Hotel
535,Umm Lajj,SA,83.57,25.0213,37.2685,Moon light Furnished Units
536,Kununurra,AU,80.58,-15.7667,128.7333,Hotel Kununurra
537,Bonoua,CI,80.22,5.2741,-3.595,Hotel Bon Samaritian
541,Eyl,SO,78.31,7.9803,49.8164,Amiin Hotel
542,Awbari,LY,72.03,26.5921,12.7805,فندق أوباري
547,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
550,Fare,PF,78.31,-16.7,-151.0167,Maitai Lapita Village Huahine
553,Sumter,US,72.45,28.7086,-82.0831,Paradise Oaks RV Resort
554,Shakawe,BW,81.3,-18.3667,21.85,Ditlhapi Guest House
557,Bermejo,AR,85.91,-32.8833,-68.8,Muras Apart Hotel
558,Mahajanga,MG,77.02,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
559,Kawalu,ID,71.94,-7.3817,108.2082,KOSAN UNGU UNSIK
562,Rocha,UY,71.04,-34.4833,-54.3333,Beleza Pura B&B
565,Passos,BR,78.13,-20.7189,-46.6097,Hostel da Moda
570,Sambava,MG,74.64,-14.2667,50.1667,Melrose
571,Sierra Vista,US,79.74,31.5545,-110.3037,Sierra Vista Extended Stay Hotel
573,Emerald,AU,77.99,-23.5333,148.1667,The Irish Village
576,Nouakchott,MR,78.73,18.0858,-15.9785,HOTEL IMAN فندق إيمان
578,Kasempa,ZM,78.33,-13.4584,25.8338,Lolelunga Forest Reserve
581,Saint-Paul,RE,71.69,-21.0096,55.2707,Boucan Canot
582,Magaria,NE,85.93,12.9983,8.9099,Chez Honorable Chapiou
583,Le Moule,GP,84.24,16.3332,-61.3473,Lakaz Hananou
585,Gwadar,PK,81.75,25.1216,62.3254,Sadaf Resort
588,Bakel,SN,89.74,14.905,-12.4568,Ablaye Diallo Bakel
589,Ranot,TH,79.14,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
590,Harper,LR,78.12,4.375,-7.7169,Screensaver
592,Bensonville,LR,76.55,6.4461,-10.6125,Moinga
593,Juba,SS,74.17,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
595,Sharjah,AE,84.18,25.3573,55.4033,Swiss Belhotel Sharjah
596,Iralaya,HN,80.69,15.0,-83.2333,Iglesia morava renovada
606,Samarai,PG,82.18,-10.6167,150.6667,Nuli Sapi
608,Loum,CM,74.1,4.7182,9.7351,Hotel ROGER
612,Titlagarh,IN,72.37,20.3,83.15,Jalaram Lodging & Boarding
613,Gizo,SB,82.56,-8.103,156.8419,Imagination Island
614,Meulaboh,ID,75.56,4.1363,96.1285,Kost Pria
615,Atar,MR,87.15,20.5169,-13.0499,Oumou Elghoura
620,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
622,Tampakan,PH,74.03,6.4442,124.9264,Green Palm Resort
624,Balingasay,PH,80.08,16.3573,119.8564,Rock Garden Resort
625,Beirut,LB,72.34,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
626,Mogadishu,SO,79.21,2.0371,45.3438,Hotel Juba
629,Iguape,BR,71.44,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
630,Rosarito,MX,79.93,32.3333,-117.0333,Hotel Festival Plaza Rosarito
632,Magangue,CO,82.11,9.242,-74.7547,Abu Dhabi hotel´s
636,Katherine,AU,82.72,-14.4667,132.2667,Pine Tree Motel
637,Bontang,ID,76.89,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
641,Yeppoon,AU,73.18,-23.1333,150.7333,Villa Mar Colina
642,San Pedro,PH,78.35,14.35,121.0167,Villa Veronica Resort Private Pool
644,Daru,PG,78.75,-9.0763,143.2092,Daru Lodge
646,Popondetta,PG,72.66,-8.7537,148.2534,Timos Transit House
650,Lucea,JM,85.86,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
651,Luwuk,ID,76.89,-0.9516,122.7875,Hotel Santika Luwuk
657,Veraval,IN,76.84,20.9,70.3667,Lords Inn Somnath
659,Madang,PG,77.18,-5.2246,145.7966,Comfort Inn Hotel
660,Karratha,AU,72.46,-20.7377,116.8463,ibis Styles Karratha
